,candidate,candidate_male,county,district,office,pro_gun_control,vote_share,year,candidate_hispanic,prog_min_wage,incumbent
443,Filemon B Vela,1,SAN PATRICIO,34,house,0,0.557067891,2016,1,0,0
444,Filemon B Vela,1,WILLACY,34,house,0,0.701624512,2016,1,0,0
579,Frank Brisoce,1,BRAZORIA,22,house,0,0.341932842,2014,0,0,0
580,Frank Brisoce,1,FORT BEND,22,house,0,0.307093252,2014,0,0,0
581,Frank Brisoce,1,HARRIS,22,house,0,0.368986428,2014,0,0,0
425,Gene Green,1,HARRIS,29,house,0,0.751396363,2016,0,1,1
416,Henry Cuellar,1,ATASCOSA,28,house,0,0.470436628,2016,1,1,0
417,Henry Cuellar,1,BEXAR,28,house,0,0.541485689,2016,1,1,0
418,Henry Cuellar,1,HIDALGO,28,house,0,0.753851395,2016,1,1,0
419,Henry Cuellar,1,LASALLE,28,house,0,0.772321429,2016,1,1,0
420,Henry Cuellar,1,MCMULLEN,28,house,0,0.254237288,2016,1,1,0
421,Henry Cuellar,1,STARR,28,house,0,0.869897959,2016,1,1,0
422,Henry Cuellar,1,WEBB,28,house,0,0.886362818,2016,1,1,0
423,Henry Cuellar,1,WILSON,28,house,0,0.348651526,2016,1,1,0
424,Henry Cuellar,1,ZAPATA,28,house,0,0.834837847,2016,1,1,0
271,James Cargas,1,HARRIS,7,house,1,0.780196737,2016,0,1,0
272,James Cargas,1,HARRIS,7,house,1,0.353202364,2014,0,1,0
273,James Cargas,1,HARRIS,7,house,1,0.353202364,2014,0,1,0
384,Jan McDowell,1,DALLAS,24,house,1,0.491272481,2016,0,1,0
385,Jan McDowell,1,DENTON,24,house,1,0.438669486,2016,0,1,0
386,Jan McDowell,1,TARRANT,24,house,1,0.32227037,2016,0,1,0
387,Kathi Thomas,0,BELL,25,house,1,0.654854239,2016,0,1,0
388,Kathi Thomas,0,BOSQUE,25,house,1,0.172592889,2016,0,1,0
389,Kathi Thomas,0,BURNET,25,house,1,0.200173263,2016,0,1,0
390,Kathi Thomas,0,CORYELL,25,house,1,0.284874337,2016,0,1,0
391,Kathi Thomas,0,ERATH,25,house,1,0.161639344,2016,0,1,0
392,Kathi Thomas,0,HAMILTON,25,house,1,0.138282387,2016,0,1,0
393,Kathi Thomas,0,HAYS,25,house,1,0.366844151,2016,0,1,0
394,Kathi Thomas,0,HILL,25,house,1,0.200499235,2016,0,1,0
395,Kathi Thomas,0,JOHNSON,25,house,1,0.192028328,2016,0,1,0
396,Kathi Thomas,0,LAMPASAS,25,house,1,0.183023197,2016,0,1,0
397,Kathi Thomas,0,SOMERVELL,25,house,1,0.140455531,2016,0,1,0
398,Kathi Thomas,0,TARRANT,25,house,1,0.255319149,2016,0,1,0
399,Kathi Thomas,0,TRAVIS,25,house,1,0.577773405,2016,0,1,0
445,Lloyd Doggett,1,BEXAR,35,house,1,0.678270162,2016,0,1,1
446,Lloyd Doggett,1,CALDWELL,35,house,1,0.555680329,2016,0,1,1
447,Lloyd Doggett,1,COMAL,35,house,1,0.339436367,2016,0,1,1
448,Lloyd Doggett,1,GUADALUPE,35,house,1,0.342244011,2016,0,1,1
449,Lloyd Doggett,1,HAYS,35,house,1,0.593625968,2016,0,1,1
450,Lloyd Doggett,1,TRAVIS,35,house,1,0.824413249,2016,0,1,1
451,Lloyd Doggett,1,BEXAR,35,house,1,0.662780952,2014,0,1,1
452,Lloyd Doggett,1,CALDWELL,35,house,1,0.568002041,2014,0,1,1
453,Lloyd Doggett,1,COMAL,35,house,1,0.332895231,2014,0,1,1
454,Lloyd Doggett,1,GUADALUPE,35,house,1,0.307745386,2014,0,1,1
455,Lloyd Doggett,1,HAYS,35,house,1,0.568370665,2014,0,1,1
456,Lloyd Doggett,1,TRAVIS,35,house,1,0.822905342,2014,0,1,1
432,Marc Veasy,1,DALLAS,33,house,1,0.701620864,2016,0,1,1
433,Marc Veasy,1,TARRANT,33,house,1,0.772163051,2016,0,1,1
