,County,FIPS,Age,Total,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Other Total,Other Male,Other Female,Hispanic Total,Hispanic Male,Hispanic Female
16269,POLK COUNTY,373,All Ages,48271,25918,22353,33790,17456,16334,5466,3359,2107,1778,835,943,7237,4268,2969
16356,POTTER COUNTY,375,All Ages,123622,63616,60006,53718,26749,26969,12107,6983,5124,9304,4728,4576,48493,25156,23337
16443,PRESIDIO COUNTY,377,All Ages,7518,3675,3843,1086,585,501,23,16,7,120,57,63,6289,3017,3272
16530,RAINS COUNTY,379,All Ages,11249,5562,5687,9776,4779,4997,227,121,106,294,152,142,952,510,442
16617,RANDALL COUNTY,381,All Ages,133520,65027,68493,96997,46718,50279,3429,1912,1517,5481,2805,2676,27613,13592,14021
16704,REAGAN COUNTY,383,All Ages,3685,1948,1737,1218,601,617,69,41,28,30,16,14,2368,1290,1078
16791,REAL COUNTY,385,All Ages,3462,1707,1755,2445,1192,1253,20,11,9,76,32,44,921,472,449
16878,RED RIVER COUNTY,387,All Ages,11870,5854,6016,8520,4219,4301,2119,993,1126,359,181,178,872,461,411
16965,REEVES COUNTY,389,All Ages,14576,8700,5876,2609,1724,885,686,582,104,207,122,85,11074,6272,4802
17052,REFUGIO COUNTY,391,All Ages,7375,3694,3681,3124,1563,1561,430,228,202,130,75,55,3691,1828,1863
17139,ROBERTS COUNTY,393,All Ages,924,473,451,834,426,408,0,0,0,11,5,6,79,42,37
17226,ROBERTSON COUNTY,395,All Ages,17518,8713,8805,9796,4893,4903,3691,1743,1948,328,172,156,3703,1905,1798
17313,ROCKWALL COUNTY,397,All Ages,93991,46013,47978,66148,32260,33888,5878,2854,3024,4914,2358,2556,17051,8541,8510
17400,RUNNELS COUNTY,399,All Ages,10398,5238,5160,6400,3162,3238,163,90,73,175,95,80,3660,1891,1769
17487,RUSK COUNTY,401,All Ages,53886,28447,25439,33499,17148,16351,9337,5254,4083,1395,704,691,9655,5341,4314
