year,county,office,district,candidate,vote_share,pro_gun_control,candidate_male,candidate_hispanic
2014,YOUNG,senate,19,David M. Alameel,0.105751766,1,1,0
2014,ZAPATA,senate,28,David M. Alameel,0.70415879,1,1,0
2014,ZAVALA,senate,23,David M. Alameel,0.763061074,1,1,0
2014,BEE,house,34,Filemon B Vela,0.4700629,0,1,1
2016,ARANSAS,house,27,Raul (Roy) Barrera,0.243979965,,1,1
2016,ATASCOSA,house,28,Henry Cuellar,0.470436628,0,1,1
2014,CAMERON,house,34,Filemon B Vela,0.6700742,0,1,1
2016,BANDERA,house,21,Tom Wakely,0.158058494,1,1,0
2014,DEWITT,house,34,Filemon B Vela,0.153906,0,1,1
2016,BASTROP,house,17,William Matta,0.306493506,1,1,0
2016,BASTROP,house,27,Raul (Roy) Barrera,0.383187483,,1,1
2014,GOLIAD,house,34,Filemon B Vela,0.3369853,0,1,1
2016,BELL,house,25,Kathi Thomas,0.654854239,1,0,0
2016,BELL,house,31,Mike Clark,0.352228051,1,1,0
2016,BEXAR,house,21,Tom Wakely,0.379269415,1,1,0
2016,BEXAR,house,23,Pete P. Gallego,0.433159673,0,1,1
2016,BEXAR,house,28,Henry Cuellar,0.541485689,0,1,1
2016,BEXAR,house,35,Lloyd Doggett,0.678270162,1,1,0
2016,BLANCO,house,21,Tom Wakely,0.208271237,1,1,0
2016,BOSQUE,house,25,Kathi Thomas,0.172592889,1,0,0
2014,GONZALES,house,34,Filemon B Vela,0.1969072,0,1,1
2016,BRAZORIA,house,22,Mark Gibson,0.394502464,1,1,0
2016,BRAZOS,house,17,William Matta,0.310439252,1,1,0
2016,BREWSTER,house,23,Pete P. Gallego,0.539423077,0,1,1
2016,BROOKS,house,15,Vincete Gonzalez,0.83277027,1,1,1
2016,BURLESON,house,17,William Matta,0.203873448,1,1,0
2016,BURNET,house,25,Kathi Thomas,0.200173263,1,0,0
2016,CALDWELL,house,27,Raul (Roy) Barrera,0.356547713,,1,1
2016,CALDWELL,house,35,Lloyd Doggett,0.555680329,1,1,0
2016,CALHOUN,house,27,Raul (Roy) Barrera,0.316896194,,1,1
2014,HIDALGO,house,34,Filemon B Vela,0.7345034,0,1,1
2016,CHAMBERS,house,36,Hal J Ridley Jr.åÊ,0.076530612,1,1,0
2016,COLLIN,house,3,Adam P. Bell,0.564940831,1,1,0
2014,JIM WELLS,house,34,Filemon B Vela,0.5821336,0,1,1
2016,COMAL,house,21,Tom Wakely,0.184827384,1,1,0
2016,COMAL,house,35,Lloyd Doggett,0.339436367,1,1,0
2016,CORYELL,house,25,Kathi Thomas,0.284874337,1,0,0
2016,CRANE,house,23,Pete P. Gallego,0.238385377,0,1,1
2016,CROCKETT,house,23,Pete P. Gallego,0.345549738,0,1,1
2016,CULBERSON,house,23,Pete P. Gallego,0.663394109,0,1,1
2016,DALLAS,house,24,Jan McDowell,0.491272481,1,1,0
2016,DALLAS,house,26,Eric Mauck,0.406976744,1,1,0
2016,DALLAS,house,30,Eddie Bernice Johnson,0.804178851,1,0,0
2016,DALLAS,house,33,Marc Veasy,0.701620864,1,1,0
2016,DENTON,house,24,Jan McDowell,0.438669486,1,1,0
2016,DENTON,house,26,Eric Mauck,0.32065032,1,1,0
2014,KENEDY,house,34,Filemon B Vela,0.5982906,0,1,1
2016,DIMMIT,house,23,Pete P. Gallego,0.685964322,0,1,1
2016,DUVAL,house,15,Vincete Gonzalez,0.794094174,1,1,1
2016,EDWARDS,house,23,Pete P. Gallego,0.297325103,0,1,1
2016,EL PASO,house,23,Pete P. Gallego,0.842229713,0,1,1
2016,ELLIS,house,6,Ruby Faye Woolridge,0.318387877,1,0,1
2016,ERATH,house,25,Kathi Thomas,0.161639344,1,0,0
2016,FALLS,house,17,William Matta,0.299346664,1,1,0
2014,KLEBERG,house,34,Filemon B Vela,0.5512566,0,1,1
2016,FORT BEND,house,9,Al Green,0.793993994,1,1,0
2016,FORT BEND,house,22,Mark Gibson,0.401447906,1,1,0
2016,FREESTONE,house,17,William Matta,0.187794077,1,1,0
2016,FRIO,house,23,Pete P. Gallego,0.564981504,0,1,1
2014,SAN PATRICIO,house,34,Filemon B Vela,0.5758899,0,1,1
2016,GILLESPIE,house,21,Tom Wakely,0.152964744,1,1,0
2014,WILLACY,house,34,Filemon B Vela,0.675808,0,1,1
2016,GONZALES,house,27,Raul (Roy) Barrera,0.267676768,,1,1
2016,BEE,house,34,Filemon B Vela,0.434324887,0,1,1
2016,CAMERON,house,34,Filemon B Vela,0.687795197,0,1,1
2016,GUADALUPE,house,15,Vincete Gonzalez,0.311131366,1,1,1
2016,GUADALUPE,house,35,Lloyd Doggett,0.342244011,1,1,0
2016,HAMILTON,house,25,Kathi Thomas,0.138282387,1,0,0
2016,HARDIN,house,36,Hal J Ridley Jr.åÊ,0.056777757,1,1,0
2016,HARRIS,house,2,Pat Bryan,0.594165698,1,1,0
2016,HARRIS,house,7,James Cargas,0.780196737,1,1,0
2016,HARRIS,house,9,Al Green,0.811555795,1,1,0
2016,DEWITT,house,34,Filemon B Vela,0.178253657,0,1,1
2016,HARRIS,house,18,Sheila Jackson Lee,0.4236159,1,0,0
2016,HARRIS,house,22,Mark Gibson,0.445083127,1,1,0
2016,HARRIS,house,29,Gene Green,0.751396363,0,1,0
2016,HARRIS,house,36,Hal J Ridley Jr.åÊ,0.160540671,1,1,0
2016,GOLIAD,house,34,Filemon B Vela,0.308571429,0,1,1
2016,HAYS,house,21,Tom Wakely,0.423724013,1,1,0
2016,HAYS,house,25,Kathi Thomas,0.366844151,1,0,0
2016,HAYS,house,35,Lloyd Doggett,0.593625968,1,1,0
2016,HIDALGO,house,15,Vincete Gonzalez,0.735346359,1,1,1
2016,HIDALGO,house,28,Henry Cuellar,0.753851395,0,1,1
2016,GONZALES,house,34,Filemon B Vela,0.20878494,0,1,1
2016,HILL,house,25,Kathi Thomas,0.200499235,1,0,0
2016,HUDSPETH,house,23,Pete P. Gallego,0.462893082,0,1,1
2016,JACKSON,house,27,Raul (Roy) Barrera,0.173197492,,1,1
2016,JASPER,house,36,Hal J Ridley Jr.åÊ,0.085919056,1,1,0
2016,JEFF DAVIS,house,23,Pete P. Gallego,0.446771379,0,1,1
2016,HIDALGO,house,34,Filemon B Vela,0.732909121,0,1,1
2016,JIM HOGG,house,15,Vincete Gonzalez,0.871235722,1,1,1
2016,JIM WELLS,house,34,Filemon B Vela,0.573044139,0,1,1
2016,JOHNSON,house,25,Kathi Thomas,0.192028328,1,0,0
2016,KARNES,house,15,Vincete Gonzalez,0.322376738,1,1,1
2016,KENDALL,house,21,Tom Wakely,0.15688547,1,1,0
2016,KENEDY,house,34,Filemon B Vela,0.610778443,0,1,1
2016,KERR,house,21,Tom Wakely,0.184693784,1,1,0
2016,KINNEY,house,23,Pete P. Gallego,0.337234821,0,1,1
2016,KLEBERG,house,34,Filemon B Vela,0.515996096,0,1,1
2016,LAMPASAS,house,25,Kathi Thomas,0.183023197,1,0,0
2016,LASALLE,house,23,Pete P. Gallego,0.599257885,0,1,1
2016,LASALLE,house,28,Henry Cuellar,0.772321429,0,1,1
2016,LAVACA,house,27,Raul (Roy) Barrera,0.141372387,,1,1
2016,SAN PATRICIO,house,34,Filemon B Vela,0.557067891,0,1,1
2016,LEE,house,17,William Matta,0.20700309,1,1,0
2016,LEON,house,17,William Matta,0.115508021,1,1,0
2016,LIBERTY,house,36,Hal J Ridley Jr.åÊ,0.091876254,1,1,0
2016,LIMESTONE,house,17,William Matta,0.22715685,1,1,0
2016,LIVE OAK,house,15,Vincete Gonzalez,0.184547244,1,1,1
2016,LOVING,house,23,Pete P. Gallego,0.142857143,0,1,1
2016,MATAGORDA,house,27,Raul (Roy) Barrera,0.305126464,,1,1
2016,MAVERICK,house,23,Pete P. Gallego,0.777952756,0,1,1
2016,MCLENNAN,house,17,William Matta,0.321950646,1,1,0
2016,MCMULLEN,house,28,Henry Cuellar,0.254237288,0,1,1
2016,MEDINA,house,23,Pete P. Gallego,0.260097514,0,1,1
2016,MILAM,house,17,William Matta,0.232785697,1,1,0
2016,WILLACY,house,34,Filemon B Vela,0.701624512,0,1,1
2016,NAVARRO,house,6,Ruby Faye Woolridge,0.309284398,1,0,1
2016,NEWTON,house,36,Hal J Ridley Jr.åÊ,0.097426471,1,1,0
2016,NUECES,house,27,Raul (Roy) Barrera,0.496269958,,1,1
2016,ORANGE,house,36,Hal J Ridley Jr.åÊ,0.081673099,1,1,0
2016,BRAZORIA,house,14,Michael Cole,0.387108685,0,1,0
2016,PARKER,house,12,Bill Bradshaw,0.145572282,,1,0
2016,PECOS,house,23,Pete P. Gallego,0.436151748,0,1,1
2016,POLK,house,36,Hal J Ridley Jr.åÊ,0.093707693,1,1,0
2016,PRESIDIO,house,23,Pete P. Gallego,0.701492537,0,1,1
2016,REAGAN,house,23,Pete P. Gallego,0.206385405,0,1,1
2016,REAL,house,21,Tom Wakely,0.117684078,1,1,0
2016,REEVES,house,23,Pete P. Gallego,0.598165761,0,1,1
2016,REFUGIO,house,27,Raul (Roy) Barrera,0.367079646,,1,1
2016,ROBERTSON,house,17,William Matta,0.295726748,1,1,0
2016,GALVESTON,house,14,Michael Cole,0.537592362,0,1,0
2016,JEFFERSON,house,14,Michael Cole,0.956403022,0,1,0
2014,CHAMBERS,house,36,Michael Cole,0.158022592,0,1,0
2016,SAN PATRICIO,house,27,Raul (Roy) Barrera,0.314351547,,1,1
2014,HARDIN,house,36,Michael Cole,0.120787013,0,1,0
2016,SCHLEICHER,house,23,Pete P. Gallego,0.217305801,0,1,1
2014,HARRIS,house,36,Michael Cole,0.275833018,0,1,0
2014,JASPER,house,36,Michael Cole,0.198226545,0,1,0
2016,SOMERVELL,house,25,Kathi Thomas,0.140455531,1,0,0
2016,STARR,house,28,Henry Cuellar,0.869897959,0,1,1
2016,SUTTON,house,23,Pete P. Gallego,0.231277533,0,1,1
2016,TARRANT,house,6,Ruby Faye Woolridge,0.871928923,1,0,1
2016,TARRANT,house,12,Bill Bradshaw,0.480175026,,1,0
2016,TARRANT,house,24,Jan McDowell,0.32227037,1,1,0
2016,TARRANT,house,25,Kathi Thomas,0.255319149,1,0,0
2016,TARRANT,house,26,Eric Mauck,0.264282778,1,1,0
2016,TARRANT,house,33,Marc Veasy,0.772163051,1,1,0
2016,TERRELL,house,23,Pete P. Gallego,0.442352941,0,1,1
